d1,c1,d2,c2,d3,c3,class
31,0.019,33,0.0095,71,0,5
31,0.0186,33,0.0087,71,0,5
31,0.0186,33,0.0087,71,0,5
31,0.0186,33,0.0086,71,0,5
31,0.0186,33,0.0086,71,0,5
19,0.02,27,0.178,59,0.39,11
19,0.02,27,0.178,59,0.39,11
19,0.02,27,0.18,59,0.395,11
19,0.02,27,0.18,59,0.395,11
19,0.02,27,0.173,59,0.39,11
19,0.02,27,0.173,59,0.39,11
46,0.93,47,1.45,52,0.6,13
46,0.93,47,1.45,52,0.6,13
46,1.1,47,1.47,52,0.64,13
46,1.1,47,1.47,52,0.64,13
46,0.943,47,1.535,52,0.645,13
46,0.943,47,1.535,52,0.645,13
16,0.09,54,1.14,71,0,13
16,0.09,54,1.14,71,0,13
16,0.09,54,1.14,71,0,13
16,0.09,54,1.15,71,0,13
16,0.09,54,1.15,71,0,13
16,0.09,54,1.15,71,0,13
16,0.1,54,1.14,71,0,13
16,0.1,54,1.14,71,0,13
16,0.1,54,1.14,71,0,13
7,1.15,48,0.48,64,1.9,4
7,1.15,48,0.48,64,1.9,4
7,1.13,48,0.47,64,1.8,4
7,1.13,48,0.47,64,1.8,4
42,1.488,50,2.256,52,0.029,13
42,1.488,50,2.256,52,0.029,13
42,1.53,50,1.92,52,0.08,13
42,1.53,50,1.92,52,0.08,13
43,1.56,50,1.92,52,0.09,13
43,1.56,50,1.92,52,0.09,13
42,1.54,50,1.9,52,0.095,13
42,1.54,50,1.9,52,0.095,13
19,0.363,21,0.0136,31,0.347,12
19,0.363,21,0.0136,31,0.347,12
19,0.0435,27,0.207,59,0.462,11
19,0.0435,27,0.207,59,0.462,11
19,0.044,27,0.205,59,0.46,11
19,0.044,27,0.205,59,0.46,11
16,0.077,7,0.775,64,1.455,4
16,0.077,7,0.775,64,1.455,4
16,0.1155,7,0.8,64,1.72,4
16,0.1155,7,0.8,64,1.72,4
16,0.1,7,0.848,64,1.67,4
16,0.1,7,0.848,64,1.67,16
16,0.1,7,0.848,64,1.67,4
14,0.009,29,0.3,32,0.03,3
14,0.009,29,0.3,32,0.03,3
14,0.011,30,0.34,32,0.033,3
14,0.011,30,0.34,32,0.033,3
14,0.01,29,0.315,32,0.03,3
14,0.01,29,0.315,32,0.03,3
14,0.025,16,0.0112,29,0.37,3
14,0.025,16,0.0112,29,0.37,3
14,0.025,16,0.0112,29,0.373,3
14,0.025,16,0.0112,29,0.373,3
14,0.022,16,0.012,29,0.34,3
14,0.022,16,0.012,29,0.34,3
16,0.029,29,0.2,71,0,3
16,0.029,29,0.2,71,0,3
27,0.19,7,0.557,64,1.43,4
27,0.02,7,0.56,64,1.43,4
27,0.021,7,0.56,64,1.44,4
16,0.007,29,0.48,60,2.3,16
16,0.007,29,0.48,60,2.3,16
7,0.92,48,0.9,64,2.7,4
7,0.92,48,0.9,64,2.7,4
7,0.9,48,0.4,64,2.7,4
7,0.9,48,0.4,64,2.7,4
7,0.88,48,0.395,64,2.7,4
7,0.88,48,0.395,64,2.7,4
7,0.53,48,0.52,64,2.6,4
7,0.53,48,0.52,64,2.6,4
7,0.55,48,0.53,64,2.6,4
7,0.55,48,0.53,64,2.6,4
7,0.54,48,0.53,64,2.62,4
7,0.54,48,0.53,64,2.62,4
19,0.273,21,0.0087,31,0.24,12
19,0.273,21,0.0087,31,0.24,12
19,0.28,21,0.0087,31,0.245,12
19,0.28,21,0.0087,31,0.245,12
16,0.114,29,3,58,0.99,2
16,0.114,29,3,58,0.99,2
16,0.115,29,3,58,0.98,2
16,0.115,29,3,58,0.98,2
16,0.113,29,3,58,1.04,2
16,0.113,29,3,58,1.04,2
16,0.113,29,3,58,1.02,2
16,0.113,29,3,58,1.02,2
16,0.112,29,3,58,1,2
16,0.112,29,3,58,1,2
16,0.1125,29,3,58,1.01,2
16,0.1125,29,3,58,1.01,2
29,0.011,31,0.004,71,0,5
29,0.011,31,0.004,71,0,5
29,0.01,31,0.004,71,0,5
29,0.01,31,0.004,71,0,5
29,0.01,31,0.005,71,0,5
29,0.01,31,0.005,71,0,5
29,0.01,31,0.0045,71,0,5
29,0.01,31,0.0045,71,0,5
29,0.01,31,0.005,71,0,5
29,0.01,31,0.005,71,0,5
29,0.01,31,0.0047,71,0,5
29,0.01,31,0.0047,71,0,5
7,0.8,48,0.67,64,2.5,4
7,0.8,48,0.667,64,2.5,4
7,0.8,48,0.655,64,2.5,4
39,0.47,71,0,71,0,5
39,0.47,71,0,71,0,5
39,0.45,71,0,71,0,5
39,0.45,71,0,71,0,5
39,0.45,71,0,71,0,5
39,0.45,71,0,71,0,5
42,0.135,54,0.33,71,0,7
42,0.135,54,0.287,71,0,7
42,0.132,54,0.292,71,0,7
3,0.077,4,0.075,5,0.1,14
3,0.076,4,0.073,5,0.1,14
3,0.0067,4,0.013,5,0.01,5
3,0.0067,4,0.013,5,0.01,5
3,0.0065,4,0.0127,5,0.0096,5
3,0.0065,4,0.0127,5,0.0096,5
3,0.095,4,0.095,5,0.137,14
3,0.095,4,0.095,5,0.137,14
3,0.095,4,0.092,5,0.137,14
3,0.095,4,0.092,5,0.137,14
3,0.011,4,0.022,5,0.016,5
3,0.011,4,0.022,5,0.016,5
3,0.0092,4,0.0048,5,0.0155,5
3,0.0092,4,0.0048,5,0.0155,5
16,0.0256,21,0.027,31,0.0245,14
16,0.025,21,0.026,31,0.0247,14
27,0.0237,7,0.682,64,1.76,4
16,0.022,21,0.022,31,0.02,14
16,0.022,21,0.022,31,0.02,14
16,0.022,21,0.0215,31,0.021,14
16,0.022,21,0.0215,31,0.021,14
17,0.16,21,0.014,31,0.14,12
17,0.16,21,0.014,31,0.14,12
17,0.161,21,0.0146,31,0.144,12
17,0.161,21,0.0146,31,0.144,12
16,0.075,7,0.9,64,1.63,4
16,0.075,7,0.9,64,1.63,4
16,0.08,7,0.86,64,1.65,4
16,0.08,7,0.86,64,1.65,4
27,0.025,7,0.585,64,1.7,4
27,0.025,7,0.585,64,1.7,4
27,0.0247,7,0.588,64,1.69,4
27,0.0247,7,0.588,64,1.69,4
14,0.062,16,0.048,60,1.44,16
14,0.062,16,0.048,60,1.44,16
14,0.063,16,0.047,60,1.45,16
14,0.063,16,0.047,60,1.45,16
14,0.065,16,0.05,60,1.46,16
14,0.065,16,0.05,60,1.46,16
16,0.033,60,0.335,71,0,3
16,0.033,60,0.335,71,0,3
16,0.032,60,0.34,71,0,3
16,0.032,60,0.34,71,0,3
16,0.03,60,0.235,71,0,3
16,0.03,60,0.235,71,0,3
16,0.029,60,0.23,71,0,3
16,0.029,60,0.23,71,0,3
27,0.266,7,0.2,64,2.313,4
27,0.266,7,0.2,64,2.313,4
27,0.263,7,0.202,64,2.33,4
27,0.263,7,0.202,64,2.33,4
16,0.0028,60,1.9,71,0,16
16,0.0028,60,1.9,71,0,16
16,0.0036,60,2.1,71,0,16
16,0.0036,60,2.1,71,0,16
16,0.025,29,3,66,0.48,16
16,0.025,29,3,66,0.48,16
16,0.023,29,3,66,0.46,16
16,0.023,29,3,66,0.46,16
16,0.021,29,3,66,0.48,16
16,0.021,29,3,66,0.48,16
31,0.025,33,0.0124,71,0,5
31,0.025,33,0.0124,71,0,5
31,0.025,33,0.0123,71,0,5
31,0.025,33,0.0123,71,0,5
31,0.0267,33,0.013,71,0,5
31,0.0267,33,0.013,71,0,5
33,0.0116,31,0.027,71,0,5
33,0.0116,31,0.027,71,0,5
33,0.012,31,0.0275,71,0,5
33,0.012,31,0.0275,71,0,5
33,0.012,31,0.0273,71,0,5
33,0.012,31,0.0273,71,0,5
16,0.0135,29,3,66,0.39,16
16,0.0135,29,3,66,0.39,16
16,0.012,29,3,66,0.386,16
16,0.012,29,3,66,0.386,16
16,0.013,29,3,66,0.385,16
16,0.013,29,3,66,0.385,16
16,0.0125,29,3,66,0.383,16
16,0.0125,29,3,66,0.383,16
16,0.025,29,3,66,0.47,16
16,0.025,29,3,66,0.47,16
16,0.026,29,3,66,0.48,16
16,0.026,29,3,66,0.48,16
16,0.028,29,3,66,0.5,16
16,0.028,29,3,66,0.5,16
31,0.0247,33,0.012,71,0,5
31,0.0247,33,0.012,71,0,5
31,0.0248,33,0.0125,71,0,5
31,0.0248,33,0.0125,71,0,5
31,0.025,33,0.0123,71,0,5
31,0.025,33,0.0123,71,0,5
31,0.027,33,0.0128,71,0,5
31,0.027,33,0.0128,71,0,5
31,0.026,33,0.0126,71,0,5
31,0.026,33,0.0126,71,0,5
31,0.025,33,0.0123,71,0,5
31,0.025,33,0.0123,71,0,5
31,0.025,33,0.012,71,0,5
31,0.025,33,0.012,71,0,5
31,0.0256,33,0.0122,71,0,5
31,0.0256,33,0.0122,71,0,5
31,0.0265,33,0.0125,71,0,5
31,0.0265,33,0.0125,71,0,5
16,0.0044,29,2.28,71,0,16
16,0.0044,29,2.28,71,0,16
16,0.0045,29,2.3,71,0,16
16,0.0045,29,2.3,71,0,16
16,0.002,29,0.36,31,0.04,3
16,0.002,29,0.36,31,0.04,3
16,0.002,29,0.37,31,0.038,3
16,0.002,29,0.37,31,0.038,3
16,0.002,29,0.35,31,0.039,3
16,0.002,29,0.35,31,0.039,3
16,0.0676,55,1.526,66,0.705,15
16,0.0676,55,1.526,66,0.705,15
16,0.0674,55,1.528,66,0.706,15
16,0.0674,55,1.528,66,0.706,15
16,0.06,55,1.5,66,0.645,15
16,0.06,55,1.5,66,0.645,15
16,0.085,27,0.248,35,0.95,15
16,0.085,27,0.248,35,0.95,15
14,0.0017,61,0.48,71,0,3
14,0.0017,61,0.48,71,0,3
32,0.05,42,0.052,54,0.88,13
32,0.046,42,0.052,54,0.87,13
32,0.048,42,0.052,70,0.88,13
16,0.116,54,1.03,52,0.029,13
16,0.116,54,1.03,52,0.029,13
16,0.117,54,1.05,52,0.03,13
16,0.117,54,1.05,52,0.03,13
46,0.95,47,1.66,52,1.08,13
46,0.95,47,1.66,52,1.08,13
7,1.35,48,1.83,64,0.882,8
7,1.35,48,1.83,64,0.882,8
7,1.37,48,1.8,64,0.83,8
7,1.37,48,1.8,64,0.83,8
7,1.165,48,1.31,64,0.764,8
7,1.165,48,1.31,64,0.764,8
7,1.382,48,1.975,64,0.93,8
7,1.382,48,1.975,64,0.93,8
7,1.38,48,1.97,64,0.93,8
7,1.38,48,1.97,64,0.93,8
7,1.381,48,1.973,64,0.93,8
7,1.381,48,1.973,64,0.93,8
16,0.099,54,0.96,52,0.025,13
16,0.099,54,0.96,52,0.025,13
16,0.046,54,1,42,0.085,13
16,0.046,54,1,42,0.085,13
7,0.808,52,0.369,46,0.219,13
7,0.808,52,0.369,46,0.219,13
7,0.808,52,0.373,46,0.22,13
7,0.808,52,0.373,46,0.22,13
42,0.18,54,0.475,71,0,7
42,0.18,54,0.475,71,0,7
47,1.8,50,1.26,71,0,13
47,1.8,50,1.26,71,0,13
7,0.83,52,0.365,46,0.2,13
7,0.83,52,0.365,46,0.2,13
7,0.83,52,0.365,46,0.2,10
7,0.83,52,0.365,46,0.2,10
39,0.37,71,0,71,0,5
39,0.37,71,0,71,0,5
39,0.36,71,0,71,0,5
39,0.36,71,0,71,0,5
39,0.32,71,0,71,0,5
39,0.32,71,0,71,0,5
3,0.0093,4,0.0145,5,0.0305,5
3,0.0093,4,0.0145,5,0.0305,5
17,0.27,21,0.085,31,0.31,12
17,0.27,21,0.085,31,0.31,12
17,0.27,21,0.083,31,0.306,12
17,0.27,21,0.083,31,0.306,12
17,0.276,21,0.0845,31,0.31,12
17,0.276,21,0.0845,31,0.31,12
4,0.028,5,0.023,71,0,5
4,0.028,5,0.023,71,0,5
4,0.0265,5,0.023,71,0,5
4,0.0265,5,0.023,71,0,5
4,0.027,5,0.023,71,0,5
4,0.027,5,0.023,71,0,5
4,0.026,5,0.023,71,0,5
4,0.026,5,0.023,71,0,5
16,0.008,29,0.24,60,3,16
16,0.008,29,0.24,60,3,16
16,0.009,29,0.22,60,3,16
16,0.009,29,0.22,60,3,16
19,0.035,27,0.17,59,0.54,11
19,0.035,27,0.17,59,0.54,11
19,0.036,27,0.175,59,0.545,11
19,0.036,27,0.175,59,0.545,11
4,0.0162,5,0.016,71,0,5
4,0.0162,5,0.016,71,0,5
4,0.0164,5,0.015,71,0,5
4,0.0164,5,0.015,71,0,5
4,0.016,5,0.0152,71,0,5
4,0.016,5,0.0152,71,0,5
4,0.024,5,0.017,71,0,5
4,0.024,5,0.017,71,0,5
4,0.023,5,0.016,71,0,5
4,0.023,5,0.016,71,0,5
4,0.024,5,0.02,71,0,5
4,0.024,5,0.02,71,0,5
14,0.062,16,0.042,60,1.67,16
14,0.062,16,0.042,60,1.67,16
66,0.174,33,0.047,71,0,14
66,0.174,33,0.047,71,0,14
66,0.17,33,0.047,71,0,14
66,0.17,33,0.047,71,0,14
66,0.125,33,0.047,71,0,14
66,0.125,33,0.047,71,0,14
33,0.039,66,0.152,71,0,14
33,0.039,66,0.152,71,0,14
33,0.04,66,0.154,71,0,14
33,0.04,66,0.154,71,0,14
33,0.039,66,0.153,71,0,14
33,0.039,66,0.153,71,0,14
3,0.116,4,0.001,5,0.0027,5
3,0.115,4,0.0011,5,0.0028,5
3,0.11,4,0.0013,5,0.0025,5
29,0.72,32,0.52,61,3,2
29,0.76,32,0.53,61,3,2
29,0.75,32,0.53,61,3,2
3,0.0076,4,0.0054,5,0.011,5
32,0.1,54,1.3,42,0.026,13
32,0.1,54,1.3,42,0.026,13
32,0.093,54,1.23,42,0.025,13
32,0.093,54,1.23,42,0.025,13
32,0.09,54,1.3,71,0,13
32,0.09,54,1.3,71,0,13
19,0.223,27,0.195,35,0.719,15
19,0.223,27,0.195,35,0.719,15
19,0.22,27,0.2,35,0.675,15
19,0.22,27,0.2,35,0.675,15
19,0.22,27,0.188,35,0.655,15
19,0.22,27,0.188,35,0.655,15
19,0.22,27,0.19,35,0.7,15
19,0.22,27,0.19,35,0.7,15
19,0.225,27,0.191,35,0.666,15
19,0.225,27,0.191,35,0.666,15
29,0.0093,31,0.0053,71,0,5
29,0.0093,31,0.0055,71,0,5
29,0.0063,31,0.0055,71,0,5
29,0.009,31,0.0058,71,0,5
7,0.683,52,0.174,46,0.25,13
7,0.685,52,0.175,46,0.23,13
27,0.53,31,0.105,32,0.757,10
27,0.53,31,0.105,32,0.76,10
27,0.54,31,0.106,32,0.76,10
27,0.55,31,0.107,32,0.76,10
27,0.26,7,0.19,64,2.2,4
27,0.26,7,0.19,64,2.2,4
27,0.257,7,0.188,64,2.2,4
27,0.257,7,0.188,64,2.2,4
27,0.267,7,0.195,64,2.3,4
27,0.267,7,0.195,64,2.3,4
21,0.23,7,1.85,64,1.92,4
21,0.23,7,1.85,64,1.92,4
21,0.235,7,1.87,64,1.94,4
21,0.235,7,1.87,64,1.94,4
21,0.235,7,1.9,64,1.9,4
21,0.235,7,1.9,64,1.9,4
21,0.18,7,1.2,64,1.37,8
21,0.18,7,1.2,64,1.37,8
7,1.452,48,1.684,64,0.912,8
7,1.45,48,1.684,64,0.915,8
7,1.4,48,1.6,64,0.93,8
7,1.19,48,1.223,64,0.73,8
33,0.06,66,0.14,71,0,14
33,0.062,66,0.143,71,0,14
33,0.07,66,0.145,71,0,14
16,0.025,29,0.9,66,1.02,16
16,0.023,29,0.85,66,1,16
16,0.025,29,0.98,66,1,16
44,0.95,48,0.38,64,2.83,4
44,0.92,48,0.43,64,2.85,4
44,0.963,48,0.374,64,2.783,4
42,0.87,50,2.61,52,0.63,13
42,0.93,50,2.75,52,0.55,13
42,0.9,50,2.45,52,0.67,13
42,0.9,50,2.47,52,0.65,13
42,0.931,50,3,52,0.475,13
42,0.93,50,3,52,0.476,13
42,0.93,50,2.95,52,0.5,13
42,0.932,50,2.97,52,0.495,13
3,0.013,4,0.025,5,0.018,5
3,0.013,4,0.025,5,0.018,5
16,0.065,7,1.56,64,0.96,8
16,0.0646,7,1.563,64,0.969,8
16,0.065,7,1.51,64,0.96,8
16,0.0646,7,1.5,64,0.969,8
16,0.065,7,1.55,64,0.864,8
55,0.076,66,1.15,71,0,11
55,0.06,66,1.14,71,0,11
55,0.057,66,1.13,71,0,11
16,0.035,21,0.0333,31,0.035,14
16,0.035,21,0.0333,31,0.035,14
16,0.0348,21,0.033,31,0.036,14
16,0.0348,21,0.033,31,0.036,14
19,0.3,6,0.1485,29,2.162,2
19,0.3,6,0.1485,29,2.162,2
16,0.15,21,0.126,31,0.138,12
16,0.15,21,0.126,31,0.138,12
16,0.15,21,0.128,31,0.14,12
16,0.15,21,0.128,31,0.14,12
17,0.164,21,0.0505,31,0.123,12
17,0.164,21,0.0505,31,0.123,12
31,0.11,7,1.34,52,1.5,10
31,0.11,7,1.34,52,1.5,10
31,0.107,7,1.335,52,1.45,10
31,0.107,7,1.335,52,1.45,10
31,0.109,7,1.267,52,1.503,10
31,0.109,7,1.267,52,1.503,10
14,0.039,16,0.003,29,0.52,3
14,0.039,16,0.003,29,0.52,3
14,0.0385,16,0.004,29,0.517,3
14,0.0385,16,0.004,29,0.517,3
14,0.036,16,0.006,29,0.52,3
14,0.036,16,0.006,29,0.52,3
16,0.003,29,0.3,31,0.006,3
16,0.003,29,0.3,31,0.006,3
16,0.0028,29,0.28,31,0.0057,3
16,0.0028,29,0.28,31,0.0057,3
16,0.0028,29,0.285,31,0.006,3
16,0.0028,29,0.285,31,0.006,3
61,0.42,14,0.0006,71,0,3
61,0.42,14,0.0006,71,0,3
61,0.41,14,0.0007,71,0,3
61,0.41,14,0.0007,71,0,3
44,1.33,48,0.3,64,2.5,4
44,1.33,48,0.3,64,2.5,4
44,1.28,48,0.305,64,2.51,4
44,1.28,48,0.305,64,2.51,4
44,1.36,48,0.3,63,2.6,4
44,1.36,48,0.3,63,2.6,4
27,0.26,7,0.205,64,2.1,4
21,0.047,55,0.45,59,0.73,11
21,0.047,55,0.45,59,0.73,11
21,0.049,55,0.46,59,0.75,11
21,0.049,55,0.46,59,0.75,11
21,0.047,55,0.46,59,0.72,11
21,0.047,55,0.46,59,0.72,11
32,0.26,42,0.66,54,1.35,13
32,0.26,42,0.66,54,1.35,13
32,0.27,42,0.73,54,1.43,13
32,0.27,42,0.73,54,1.43,13
32,0.276,42,0.71,54,1.437,13
32,0.276,42,0.71,54,1.437,13
32,0.6,44,0.94,64,1.98,4
32,0.6,44,0.94,64,1.98,4
27,0.263,7,0.19,64,1.784,4
27,0.263,7,0.19,64,1.784,4
27,0.263,7,0.188,64,1.78,4
27,0.263,7,0.188,64,1.78,4
27,0.26,1,0.18,64,1.85,4
27,0.26,1,0.18,64,1.85,4
29,3.05,66,0.267,71,0,16
29,3.05,66,0.267,71,0,16
29,3.05,66,0.269,71,0,16
29,3.05,66,0.269,71,0,16
29,3.06,66,0.267,71,0,16
29,3.06,66,0.267,71,0,16
16,0.01,32,0.39,71,0,7
16,0.01,32,0.39,71,0,7
16,0.0097,32,0.378,71,0,7
16,0.0097,32,0.378,71,0,7
16,0.01,32,0.385,71,0,7
16,0.01,32,0.385,71,0,7
16,0.01,32,0.387,71,0,7
16,0.01,32,0.387,71,0,7
32,0.168,42,0.6,54,1.05,13
32,0.168,42,0.6,54,1.05,13
32,0.16,42,0.58,54,1.02,13
32,0.16,42,0.58,54,1.02,13
32,0.135,42,0.63,54,1.03,13
32,0.135,42,0.63,54,1.03,13
16,0.026,22,0,31,0.027,14
16,0.0268,21,0.0285,31,0.0276,14
4,0.0014,5,0.0029,71,0,5
4,0.0014,5,0.0029,71,0,5
4,0.0012,5,0.003,71,0,5
4,0.0012,5,0.003,71,0,5
4,0.0013,5,0.0032,71,0,5
4,0.0013,5,0.0032,71,0,5
7,1.385,48,1.627,64,0.786,8
7,1.385,48,1.627,64,0.786,8
7,1.1,49,0,64,0.67,8
7,1.1,49,0,64,0.67,8
16,0.0625,21,0.071,58,3.05,1
16,0.0625,21,0.071,58,3.05,1
16,0.0623,21,0.073,58,3.05,1
16,0.0623,21,0.073,58,3.05,1
16,0.06,21,0.076,58,3.02,1
16,0.06,21,0.076,58,3.02,1
55,0.19,58,2.05,66,0.52,1
55,0.19,58,2.05,66,0.52,1
55,0.195,58,2.1,66,0.52,1
55,0.195,58,2.1,66,0.52,1
55,0.192,58,2.08,66,0.5,1
55,0.192,58,2.08,66,0.5,1
16,0.0056,29,1.5,66,0.76,16
16,0.0056,29,1.5,66,0.76,16
16,0.0056,29,1.5,66,0.76,16
16,0.0056,29,1.5,66,0.76,16
44,0.91,48,0.464,64,2.69,4
44,0.91,48,0.464,64,2.69,4
44,0.91,48,0.465,64,2.69,4
44,0.91,48,0.465,64,2.69,4
44,0.92,48,0.47,64,2.7,4
44,0.92,48,0.47,64,2.7,4
19,0.098,27,0.37,64,0.98,1
19,0.0995,27,0.357,64,0.907,1
19,0.094,27,0.35,64,0.89,1
21,0.0276,31,0.048,7,0.436,6
21,0.029,31,0.0483,7,0.45,6
21,0.029,31,0.049,7,0.44,6
16,0.004,55,0.15,66,0.535,11
16,0.004,55,0.15,66,0.535,11
14,0.02,20,0.1,54,0.135,7
14,0.02,20,0.1,54,0.135,7
14,0.02,20,0.112,54,0.133,7
14,0.02,20,0.112,54,0.133,7
14,0.02,20,0.113,54,0.136,7
14,0.02,20,0.113,54,0.136,7
3,0.05,4,0.13,71,0,5
3,0.05,4,0.13,71,0,5
3,0.0268,4,0.0113,5,0.005,5
3,0.0268,4,0.0113,5,0.005,5
16,0.0865,7,0.805,64,1.365,4
16,0.0865,7,0.805,64,1.365,4
16,0.085,7,0.75,64,1.38,4
16,0.085,7,0.75,64,1.38,4
16,0.085,7,0.78,64,1.35,4
16,0.085,7,0.78,64,1.35,4
16,0.0176,29,0.114,71,0,3
16,0.0176,29,0.114,71,0,3
16,0.0178,29,0.115,71,0,3
16,0.0178,29,0.115,71,0,3
16,0.0177,29,0.113,71,0,3
16,0.0177,29,0.113,71,0,3
3,0.0028,4,0.0235,5,0.063,14
3,0.0028,4,0.0235,5,0.063,14
3,0.0027,4,0.0245,5,0.0626,14
3,0.0027,4,0.0245,5,0.0626,14
3,0.0025,4,0.023,5,0.061,14
3,0.0025,4,0.023,5,0.061,14
27,0.3,44,0.65,64,1.8,4
27,0.275,44,0.657,64,1.823,4
16,0.11,50,1.03,52,0.32,13
16,0.11,50,1.03,52,0.32,13
16,0.11,50,1,52,0.32,13
16,0.11,50,1,52,0.32,13
19,0.253,27,0.168,31,0.25,12
19,0.253,27,0.166,31,0.251,12
3,0.011,4,0.0056,5,0.017,5
3,0.011,4,0.0056,5,0.017,5
16,0.197,27,0.176,31,0.192,12
16,0.197,27,0.176,31,0.192,12
16,0.2,27,0.185,31,0.195,12
16,0.2,27,0.185,31,0.195,12
16,0.21,27,0.19,31,0.2,12
16,0.21,27,0.19,31,0.2,12
17,0.03,21,0.123,31,0.029,14
17,0.03,21,0.123,31,0.029,14
17,0.03,21,0.12,31,0.0284,14
17,0.03,21,0.12,31,0.0284,14
17,0.03,21,0.126,31,0.0295,14
17,0.03,21,0.126,31,0.0295,14
17,0.029,21,0.122,31,0.0284,14
17,0.029,21,0.122,31,0.0284,14
16,0.0036,29,0.32,31,0.05,3
16,0.0036,29,0.32,31,0.05,3
16,0.0036,29,0.332,31,0.0495,3
16,0.0036,29,0.332,31,0.0495,3
16,0.0035,29,0.34,31,0.048,3
16,0.0035,29,0.34,31,0.048,3
16,0.01,21,0.052,54,0.085,7
16,0.01,21,0.052,54,0.085,7
16,0.01,21,0.052,54,0.085,7
16,0.01,21,0.052,54,0.085,7
16,0.01,21,0.0523,54,0.088,7
16,0.01,21,0.0523,54,0.088,7
3,0.057,4,0.24,71,0,7
3,0.057,4,0.24,71,0,7
3,0.058,4,0.112,5,0.0455,14
3,0.058,4,0.112,5,0.0455,14
3,0.0575,4,0.112,5,0.046,14
3,0.0575,4,0.112,5,0.046,14
7,1.5,48,0.655,64,2.45,8
7,1.45,48,0.64,64,2.465,4
7,1.46,48,0.64,64,2.466,8
44,1.15,48,0.62,64,3,4
44,1.13,48,0.6,64,3,4
44,0.18,48,0.63,64,2.86,4
21,0.024,31,0.0372,7,0.438,6
21,0.0257,31,0.0385,7,0.446,6
21,0.0245,31,0.0375,9,0.44,6
19,0.353,6,0.145,29,2.347,2
19,0.353,6,0.145,29,2.347,2
16,0.064,7,1.495,64,0.905,8
16,0.064,7,1.495,64,0.905,8
39,0.47,71,0,71,0,5
39,0.47,71,0,71,0,5
39,0.55,71,0,71,0,5
39,0.55,71,0,71,0,5
31,0.105,9,1.391,54,0.88,10
31,0.105,7,1.391,54,0.88,10
31,0.105,9,1.391,54,0.88,10
31,0.105,7,1.346,38,0.839,10
31,0.105,7,1.346,54,0.839,10
31,0.105,7,1.346,38,0.839,10
31,0.102,7,1.37,54,0.82,10
31,0.102,7,1.37,54,0.82,10
31,0.102,7,1.37,54,0.82,10
27,0.42,32,1.336,31,0.0028,13
27,0.416,32,1.287,31,0.0032,13
16,0.373,21,0.372,31,0.395,15
16,0.349,21,0.36,31,0.369,15
16,0.356,21,0.365,31,0.37,15
16,0.36,21,0.37,31,0.38,15
3,0.0086,4,0.0165,5,0.0303,5
3,0.0086,4,0.0165,5,0.0303,5
3,0.0086,4,0.0165,5,0.0306,5
3,0.0086,4,0.0165,5,0.0306,5
29,0.305,32,0.66,71,0,12
29,0.305,32,0.66,71,0,12
29,0.305,32,0.65,71,0,12
29,0.305,32,0.65,71,0,12
29,0.29,32,0.67,71,0,12
29,0.29,32,0.67,71,0,12
7,0.797,48,0.362,64,1.365,4
7,0.797,48,0.362,64,1.365,4
29,2.745,32,1.395,42,0.11,2
29,2.745,32,1.395,42,0.11,2
32,1.25,27,0.388,31,0.0014,13
32,1.25,27,0.388,31,0.0014,13
32,1.238,27,0.384,31,0.0013,13
32,1.238,27,0.384,31,0.0013,13
32,1.237,27,0.38,31,0.0016,13
32,1.237,27,0.38,31,0.0016,13
7,1.31,54,0.8,31,0.0868,6
7,1.5,54,0.9,31,0.095,6
32,0.9,17,0.13,31,0.004,7
32,0.9,17,0.13,31,0.004,7
32,0.9,17,0.138,31,0.004,7
32,0.9,17,0.138,31,0.004,7
32,0.923,17,0.142,31,0.004,7
32,0.923,17,0.142,31,0.004,7
7,1.18,54,0.68,31,0.075,10
7,1.18,54,0.68,31,0.075,10
7,1.18,54,0.69,31,0.076,10
7,1.18,54,0.69,31,0.076,10
7,1.16,54,0.66,31,0.0745,10
7,1.16,54,0.66,31,0.0745,10
44,0.6,27,0.12,41,2.2,4
44,0.58,27,0.11,41,2.3,4
34,0.565,48,1,31,0.2,9
34,0.565,48,1,31,0.3,9
34,0.565,48,1,31,0.4,9
34,0.447,48,1,31,0.051,10
34,0.45,48,1.1,31,0.053,10
34,0.47,48,1.2,31,0.055,10
32,0.34,50,1.3,31,0.043,6
32,0.335,50,1.31,13,0.041,6
32,0.34,50,1.31,31,0.044,6
3,0.07,4,0.065,5,0.09,14
7,1.663,48,0.79,64,1.565,4
7,1.663,48,0.79,64,1.565,4
7,1.672,48,0.783,64,1.567,4
7,1.672,48,0.783,64,1.567,4
7,1.657,48,0.789,64,1.563,4
7,1.657,48,0.789,64,1.563,4
29,0.36,32,0.0325,69,3,16
29,0.365,32,0.033,69,3,16
29,0.366,32,0.0335,69,3,16
16,0.19,58,1.4,64,1.16,4
16,0.19,58,1.4,64,1.16,4
16,0.191,58,1.381,64,1.14,4
16,0.191,58,1.381,64,1.14,4
7,0.44,48,2.1,31,0.036,10
7,0.44,48,2.1,31,0.036,10
16,0.056,17,0.068,31,0.0043,7
16,0.056,17,0.068,31,0.0043,7
16,0.055,17,0.0665,31,0.004,7
16,0.055,17,0.0665,31,0.004,7
32,0.456,42,0.276,31,0.0043,7
32,0.456,42,0.276,31,0.0043,7
32,0.45,42,0.267,31,0.0043,7
