d1,c1,d2,c2,d3,c3,class
19,0.29,27,0.235,35,0.66,15
19,0.29,27,0.24,35,0.68,15
19,0.29,27,0.236,35,0.67,15
29,0.26,31,0.03,71,0,3
29,0.26,31,0.03,71,0,3
29,0.258,31,0.029,71,0,3
29,0.258,31,0.029,71,0,3
29,0.25,31,0.029,71,0,3
29,0.25,31,0.029,71,0,3
3,0.006,4,0.0038,5,0.0102,5
3,0.006,4,0.0038,5,0.0102,5
3,0.066,4,0.0042,5,0.01,5
3,0.066,4,0.0042,5,0.01,5
19,0.2195,27,0.212,35,0.66,15
19,0.223,27,0.212,35,0.67,15
19,0.219,27,0.212,35,0.675,15
17,0.058,21,0.026,31,0.057,14
17,0.056,21,0.025,31,0.055,14
3,0.0125,4,0.022,5,0.017,5
3,0.012,4,0.021,5,0.015,5
19,0.385,21,0.012,31,0.322,12
19,0.386,21,0.012,31,0.33,12
14,0.0845,16,0.0088,60,1.45,16
14,0.002,16,0.018,60,0.21,3
14,0.002,16,0.02,60,0.22,3
14,0.003,16,0.019,60,0.215,3
19,0.028,27,0.21,59,0.44,11
19,0.028,27,0.22,59,0.44,11
19,0.0278,27,0.208,59,0.445,11
19,0.0276,27,0.203,59,0.45,11
21,0.01,55,0.84,59,0.73,11
21,0.01,55,0.83,59,0.72,11
21,0.011,55,0.8,59,0.74,11
7,0.54,35,0.59,48,2.85,9
7,0.55,35,0.593,48,2.85,9
7,0.555,35,0.596,48,2.85,9
7,0.493,35,0.501,48,2.2,9
46,1.37,47,1.72,52,0.6,13
46,1.4,47,1.75,52,0.6,13
46,1.38,47,1.7,52,0.63,13
32,0.0545,54,0.154,71,0,7
32,0.054,54,0.1545,71,0,7
32,0.054,54,0.154,71,0,7
3,0.13,4,0.203,71,0,7
44,1.15,48,0.48,64,2.27,4
44,1.16,48,0.48,64,2.27,4
44,1.15,48,0.47,64,2.26,4
39,0.45,71,0,71,0,5
39,0.47,71,0,71,0,5
39,0.58,71,0,71,0,5
39,0.65,71,0,71,0,5
39,0.4,71,0,71,0,5
39,0.34,71,0,71,0,5
39,0.36,71,0,71,0,5
39,0.65,71,0,71,0,5
39,0.65,71,0,71,0,5
39,0.675,71,0,71,0,5
39,0.675,71,0,71,0,5
39,0.63,71,0,71,0,5
39,0.63,71,0,71,0,5
39,0.83,71,0,71,0,5
39,0.83,71,0,71,0,5
39,0.837,71,0,71,0,5
39,0.837,71,0,71,0,5
39,0.5,71,0,71,0,5
39,0.5,71,0,71,0,5
39,0.58,71,0,71,0,5
39,0.58,71,0,71,0,5
39,0.48,71,0,71,0,5
39,0.48,71,0,71,0,5
39,0.465,71,0,71,0,5
39,0.465,71,0,71,0,5
39,0.5,71,0,71,0,5
39,0.5,71,0,71,0,5
39,0.53,71,0,71,0,5
39,0.53,71,0,71,0,5
40,0.3,71,0,71,0,5
40,0.3,71,0,71,0,5
40,0.32,71,0,71,0,5
40,0.32,71,0,71,0,5
40,0.33,71,0,71,0,5
40,0.33,71,0,71,0,5
7,0.819,48,0.39,64,1.4,4
7,0.796,48,0.39,64,1.325,4
7,0.82,48,0.463,64,1.398,4
55,0.166,66,0.44,71,0,11
55,0.164,68,0,71,0,11
55,0.165,66,0.44,71,0,11
19,0.292,27,0.19,31,0.3,12
19,0.288,27,0.192,31,0.296,12
19,0.216,27,0.14,31,0.22,12
19,0.21,27,0.138,31,0.218,12
19,0.2,27,0.13,31,0.215,12
19,0.27,27,0.171,31,0.311,12
19,0.27,27,0.17,31,0.313,12
19,0.269,27,0.175,31,0.31,12
19,0.27,27,0.163,31,0.292,12
19,0.27,27,0.163,31,0.292,12
19,0.291,27,0.18,31,0.315,12
19,0.291,27,0.18,31,0.315,12
19,0.277,27,0.1735,31,0.31,12
19,0.277,27,0.1735,31,0.31,12
19,0.275,27,0.173,31,0.31,12
19,0.275,27,0.173,31,0.31,12
19,0.28,27,0.17,31,0.313,12
19,0.28,27,0.17,31,0.313,12
19,0.29,27,0.178,31,0.33,12
19,0.29,27,0.178,31,0.33,12
19,0.29,27,0.176,31,0.325,12
19,0.29,27,0.176,31,0.325,12
19,0.28,27,0.175,31,0.32,12
19,0.28,27,0.175,31,0.32,12
19,0.26,27,0.172,31,0.277,12
19,0.26,27,0.172,31,0.277,12
19,0.26,27,0.175,31,0.278,12
19,0.26,27,0.175,31,0.278,12
19,0.26,27,0.176,31,0.278,12
19,0.26,27,0.176,31,0.278,12
19,0.368,21,0.015,31,0.344,12
19,0.368,21,0.015,31,0.344,12
17,0.053,21,0.0236,31,0.049,14
17,0.0495,21,0.0225,31,0.048,14
16,0.43,27,0.54,35,0.59,15
16,0.435,27,0.535,35,0.595,15
3,0.0089,4,0.0176,5,0.012,5
19,0.265,31,0.23,21,0.006,12
19,0.27,31,0.235,21,0.006,12
19,0.268,31,0.233,21,0.007,12
16,0.063,48,0.33,35,0.85,1
16,0.067,48,0.319,35,0.89,1
16,0.065,48,0.3,35,0.85,1
19,0.342,21,0.0125,31,0.334,12
19,0.342,21,0.013,31,0.334,12
19,0.3425,21,0.0135,31,0.334,12
19,0.52,21,0.022,31,0.49,12
19,0.52,21,0.022,31,0.49,12
19,0.518,21,0.021,31,0.48,12
19,0.518,21,0.021,31,0.48,12
19,0.53,21,0.022,31,0.496,12
19,0.53,21,0.022,31,0.496,12
19,0.2,27,0.175,35,0.61,15
19,0.2,27,0.175,35,0.61,15
19,0.351,21,0.013,31,0.335,12
19,0.351,21,0.013,31,0.335,12
7,1.87,21,0.167,64,1.92,4
7,1.87,21,0.167,64,1.92,4
7,1.845,21,0.163,64,1.9,4
7,1.845,21,0.163,64,1.9,4
7,1.845,21,0.162,64,1.88,4
7,1.845,21,0.162,64,1.88,4
17,0.0665,21,0.0277,31,0.068,14
17,0.0665,21,0.0277,31,0.068,14
19,0.18,27,0.17,35,0.53,15
19,0.18,27,0.17,35,0.53,15
19,0.18,27,0.176,35,0.547,15
19,0.18,27,0.176,35,0.547,15
19,0.18,27,0.175,35,0.546,15
19,0.18,27,0.175,35,0.546,15
19,0.323,21,0.0123,31,0.277,12
19,0.323,21,0.0123,31,0.277,12
19,0.324,21,0.0125,31,0.278,12
19,0.324,21,0.0125,31,0.278,12
19,0.3245,21,0.0125,31,0.278,12
19,0.3245,21,0.0125,31,0.278,12
19,0.323,21,0.0123,31,0.278,12
19,0.323,21,0.0123,31,0.278,12
21,0.192,7,2.05,64,1.86,4
21,0.192,7,2.05,64,1.86,4
21,0.196,7,2.08,64,1.87,4
21,0.196,7,2.08,64,1.87,4
21,0.18,7,2.1,64,1.9,4
21,0.18,7,2.1,64,1.9,4
17,0.066,21,0.029,31,0.068,14
17,0.066,21,0.029,31,0.068,14
3,0.0103,4,0.021,5,0.0205,5
3,0.0103,4,0.021,5,0.0205,5
3,0.0117,4,0.0247,5,0.0205,5
3,0.0117,4,0.0247,5,0.0205,5
19,0.4,21,0.0132,31,0.126,12
19,0.4,21,0.0132,31,0.126,12
19,0.4,21,0.0126,31,0.1256,12
19,0.4,21,0.0126,31,0.1256,12
19,0.395,21,0.013,31,0.1246,12
19,0.395,21,0.013,31,0.1246,12
19,0.412,21,0.013,31,0.1295,12
19,0.412,21,0.013,31,0.1295,12
16,0.52,21,0.43,31,0.55,15
16,0.52,21,0.43,31,0.55,15
16,0.53,21,0.44,31,0.57,15
16,0.53,21,0.44,31,0.57,15
19,0.368,21,0.015,31,0.344,12
19,0.368,21,0.015,31,0.344,12
19,0.3675,21,0.0155,31,0.343,12
19,0.3675,21,0.0155,31,0.343,12
21,0.175,7,1.856,64,1.9,4
21,0.175,7,1.856,64,1.9,4
21,0.186,7,1.958,64,1.914,4
21,0.186,7,1.958,64,1.914,4
21,0.186,7,1.925,64,1.91,4
21,0.186,7,1.925,64,1.91,4
14,0.027,29,0.9,61,3,16
14,0.027,29,0.9,61,3,16
14,0.0208,29,0.895,61,3,16
14,0.0208,29,0.895,61,3,16
14,0.028,29,0.886,61,3,16
14,0.028,29,0.886,61,3,16
16,0.12,21,0.4,58,1.3,1
16,0.12,21,0.4,58,1.3,1
16,0.12,21,0.395,58,1.32,1
16,0.12,21,0.395,58,1.32,1
16,0.118,21,0.39,58,1.3,1
16,0.118,21,0.39,58,1.3,1
16,0.29,58,2.3,64,1.03,4
16,0.29,58,2.3,64,1.03,4
17,0.0415,21,0.0186,31,0.038,14
